流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
03011,FL1004,10283030,01,英文二,3.00,蔡秀枝,,2,T一12三12,,33,0,0,31,31,0,2
03023,FL1004,10283030,02,英文二,3.00,王寶祥,,2,一,10AB,,32,0,0,32,32,0,0
03024,FL1004,10283030,03,英文二,3.00,鄭暐凡,,2,一,10AB,,32,0,0,32,32,2,0
03005,FL1004,10283030,05,英文二,3.00,鄺慧琪,,2,二234,,32,0,0,32,32,0,0
03042,FL1004,10283030,06,英文二,3.00,劉威辰,,2,二567,,34,0,0,37,14,0,0
03044,FL1004,10283030,07,英文二,3.00,劉威辰,,2,二89,10,,34,0,0,37,37,0,0
03045,FL1004,10283030,08,英文二,3.00,林婉瑜,,2,二89,10,,30,0,0,33,33,0,0
03052,FL1004,10283030,09,英文二,3.00,楊明蒼,,2,三234,,34,0,0,30,30,0,4
03053,FL1004,10283030,10,英文二,3.00,鄭暐凡,,2,三234,,34,0,0,34,34,4,0
03054,FL1004,10283030,11,英文二,3.00,李鴻瓊,,2,三234,,34,0,0,16,16,0,18
03030,FL1004,10283030,12,英文二,3.00,傅友祥,,2,四89,10,,35,0,0,34,34,0,1
03031,FL1004,10283030,13,英文二,3.00,劉亮雅,,2,四89,10,,30,0,0,27,27,0,3
03032,FL1004,10283030,14,英文二,3.00,鍾玉玨,,2,四89,10,,32,0,0,31,31,4,1
03033,FL1004,10283030,15,英文二,3.00,周昱翔,,2,四89,10,,30,0,0,20,20,0,10
03034,FL1004,10283030,16,英文二,3.00,陳春燕,,2,四89,10,,32,0,0,28,28,0,4
03046,FL1004,10283030,17,英文二,3.00,鍾玉玨,,2,二89,10,,32,0,0,32,32,6,0
03001,FL1008,10283320,01,英文(附一小時英聽)二,3.00,陶漢威,,2,一ABC,DD2,30,0,0,29,29,0,1
03002,FL1008,10283320,02,英文(附一小時英聽)二,3.00,陶漢威,,2,三ABC,DD2,30,0,0,32,32,0,0
03003,FL1008,10283320,03,英文(附一小時英聽)二,3.00,陳逸軒,,2,一ABC,DD2,30,0,0,29,29,0,1
