流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
49904,CHIN2004,10125102,02,中國文學史下,3.00,吳旻旻,,2,四789,CD1*B20*AU1,50,8,2,36,0,1,12
78089,CHIN2014,10125212,,中國文學史一下,2.00,謝佩芬,,2,四56,CD1*DD9*AU1,25,0,0,8,0,3,17
80748,CHIN3010,10125222,,中國文學史二下,2.00,劉柏正,,2,四67,CD1*DD9*AU2,20,0,0,15,0,1,5
67069,CHIN2271,10125520,,《史記》選讀二,2.00,李隆獻,,2,五89,DD9*AU1,20,3,2,0,0,5,18
76966,CHIN2006,10126002,01,歷代文選及習作下,2.00,蔡璧名,,2,三34,CD1*B21*AU1,40,0,0,32,0,0,8
68803,CHIN2006,10126002,02,歷代文選及習作下,2.00,陳志信,,2,二67,CD1*B20*AU1,40,0,0,38,0,1,2
85831,CHIN2008,101271A2,01,詩選及習作甲下,2.00,劉少雄,,2,二34,CD1*B21*AU1,40,0,0,40,0,4,0
67748,CHIN2008,101271A2,02,詩選及習作甲下,2.00,沈凡玉,,2,二34,CD1*B20*AU1,40,0,0,31,0,0,9
18667,CHIN1014,10127702,,現代詩選下,2.00,洪淑苓,,2,二89,,60,10,0,48,0,6,12
81790,CHIN1050,10128320,01,音樂作品欣賞二,2.00,蔡世豪,1,3,四34,,180,0,6,0,0,1586,174
74987,CHIN1050,10128320,02,音樂作品欣賞二,2.00,蔡世豪,1,3,四67,,180,0,6,0,0,1584,174
66709,CHIN2262,10129720,,民間文學,2.00,洪淑苓,,2,一89,,35,10,0,0,0,106,35
34537,CHIN3002,101311A2,01,聲韻學甲下,2.00,李存智,,2,一34,CD1*AU2*B21,40,0,0,37,0,2,3
56001,CHIN3002,101311A2,02,聲韻學甲下,2.00,李存智,,2,二34,CD1*AU2*B20,40,0,0,28,0,1,12
21740,CHIN2024,101320A2,,周易甲下,2.00,陳威,,2,五78,AU1,30,10,0,16,0,4,14
67470,CHIN2026,101322A2,,尚書甲下,2.00,曹美秀,,2,二34,AU2,14,10,4,2,0,0,8
41131,CHIN2030,101323A2,,禮記甲下,2.00,黃啟書,,2,二12,,15,2,0,8,0,0,7
21249,CHIN2038,101332A2,,莊子甲下,2.00,徐聖心,,2,二89,AU1,30,10,0,18,0,1,12
51136,CHIN2040,101334A2,,荀子甲下,2.00,伍振勳,,3,五34,,50,10,4,21,0,3,25
15706,CHIN3016,10134002,,歷代詩選下,2.00,佘筠珺,,2,二34,CD1*DD9*AU2,20,0,0,18,0,0,2
40791,CHIN3062,10134310,,禪門燈錄選讀,2.00,林永勝,,2,四34,AU1,30,6,4,0,0,38,26
39279,CHIN3022,10134600,,清儒名著選讀,3.00,曹美秀,,2,一234,AU1,30,15,2,0,0,48,28
86532,CHIN3056,10134900,,近現代文化與思想,3.00,楊芳燕,,2,四345,,25,5,2,0,0,44,23
65441,CHIN2020,10136202,,小說選下,2.00,康韻梅,,2,四89,AU1,40,5,2,25,0,1,13
44851,CHIN2144,10136402,,世說新語下,2.00,張蓓蓓,,2,五34,,40,3,2,41,0,3,0
71021,CHIN2149,10137000,,清真詞,3.00,劉少雄,,2,四345,,30,3,2,0,0,110,28
58452,CHIN2042,101372A2,,楚辭甲下,2.00,吳旻旻,,2,五34,AU1,40,5,4,37,0,2,0
26671,CHIN2018,10137402,,詞選及習作下,2.00,李文鈺,,2,二89,AU1,40,5,0,40,0,2,0
62397,CHIN3950,10139910,,近現代翻譯文學,2.00,潘少瑜,,2,四67,AU1,25,5,2,0,0,39,23
24318,CHIN4002,10141102,,訓詁學下,2.00,趙飛鵬,,2,二67,CD1*AU3,80,0,0,60,0,0,20
28748,CHIN3004,10141202,01,中國思想史下,3.00,蔡振豐,,2,三234,CD1*B21*AU2,50,0,0,34,0,4,16
72092,CHIN3004,10141202,02,中國思想史下,3.00,徐聖心,,2,三234,CD1*B20*AU2,50,0,0,37,0,6,13
34270,CHIN4027,10142000,,應用文及習作,3.00,黃啟書,,2,三234,,10,0,2,0,0,10,8
15518,CHIN2176,10142300,,華語教學法進階,3.00,魏岫明,,2,四345,,20,0,0,0,0,0,20
34988,CHIN1022,10142402,,漢語語言學下,2.00,巫雪如,,2,四34,CD1*DD9,25,0,0,8,0,4,17
67956,CHIN4024,10142920,,初級臺灣客語二,2.00,楊名龍,,2,一67,,30,0,4,0,0,31,26
42904,CHIN4071,10143912,,中國佛教史下,2.00,趙飛鵬,,2,二89,AU1,35,5,4,6,0,2,25
30242,CHIN4020,10145602,,中國思想概說下,2.00,簡凱廷,,2,一34,CD1*DD9*AU3,20,0,0,15,0,1,5
60705,CHIN2046,10145902,,文心雕龍下,2.00,李錫鎮,,2,二89,AU2,30,2,2,19,0,1,9
17055,CHIN4913,10146100,,歐陽修文,3.00,方介,,2,五789,,30,5,2,0,0,50,28
68713,CHIN2196,10147202,,杜甫詩下,2.00,曹淑娟,,2,一67,AU1,40,5,0,32,0,2,8
89847,CHIN4072,10147810,,元白詩選,2.00,佘筠珺,,2,二89,DD9*AU1,20,3,0,0,0,20,20
32742,CHIN4066,10148010,,佛典導讀,3.00,羅鈴沛,,2,一789,,60,30,10,0,0,58,50
45595,CHIN4060,10148300,,花間詞選,2.00,李文鈺,,2,四89,,30,5,0,0,0,133,30
81966,CHIN5044,10151120,,蒙文二,2.00,蕭素英,,2,二67,,30,0,6,0,0,21,24
86528,CHIN5108,10151390,,納蘭詞,2.00,卓清芬,,2,五34,,40,0,2,0,0,100,38
49313,CHIN5112,10151470,,藏文佛典選讀,2.00,廖本聖,,3,四78,,20,4,2,0,0,11,18
29377,CHIN5046,10151500,,學術研究與寫作初階,2.00,陳志信,,2,五34,AU2,10,0,0,0,0,11,10
42901,CHIN5007,10151510,,滿文一,2.00,莊吉發,,2,五67,,40,0,10,0,0,58,30
41703,CHIN5008,10151520,,滿文二,2.00,莊吉發,,2,五89,,40,2,2,0,0,20,38
75073,CHIN5041,10151900,,八思巴漢語文獻選讀,2.00,蕭素英,,2,二34,,30,0,6,0,0,19,24
52089,CHIN5076,10154400,,臺灣閩南語二,2.00,林貝珊,,2,五34,,30,15,0,0,0,63,30
